eml   |F(<=4)|=43889   subset=2000  pairs=4000000   ood=0.625  2.4s
sha   |F(<=4)|=150000  subset=2000  pairs=4000000   ood=0.000  11.2s
eas   |F(<=4)|=123298  subset=2000  pairs=4000000   ood=0.000  19.3s
sna   |F(<=4)|=150000  subset=2000  pairs=4000000   ood=0.000  27.3s
sag   |F(<=4)|=150000  subset=2000  pairs=4000000   ood=0.000  35.5s
eat   |F(<=4)|=94562   subset=2000  pairs=4000000   ood=0.000  43.4s

target    eml             sha             eas             sna             sag             eat            
exp(x)    0.0e+00>0.0e+00 1.7e-04>1.7e-04 1.3e-18>1.3e-18 3.8e-04>3.8e-04 9.2e-05>9.2e-05 0.0e+00>0.0e+00
ln(x)     5.9e-17>5.9e-17 1.2e-02>5.4e-03 1.7e-02>9.1e-03 1.5e-01>1.0e-01 6.7e-02>5.2e-02 3.2e-02>8.2e-03
1/x       7.8e-17>7.8e-17 6.1e-02>1.4e-02 4.2e-02>1.1e-02 1.0e-01>7.1e-02 2.0e-02>1.2e-02 4.1e-02>3.9e-02
x^2       1.3e-02>4.5e-03 1.9e-02>4.2e-03 1.8e-02>2.6e-03 9.8e-02>4.7e-02 1.3e-01>1.3e-01 9.3e-02>7.6e-02
sqrt(x)   4.2e-03>8.5e-04 2.0e-03>9.4e-04 4.7e-03>1.6e-03 6.8e-02>3.9e-02 6.1e-02>4.4e-02 1.4e-02>8.9e-03
x*ln(x)   9.5e-03>4.2e-03 3.3e-03>2.5e-03 7.0e-03>1.2e-03 7.5e-02>6.1e-02 7.5e-02>7.5e-02 6.2e-02>5.4e-02
exp(-x)   7.9e-17>7.9e-17 1.2e-02>1.7e-03 5.9e-03>3.1e-03 1.5e-01>4.6e-02 5.4e-04>5.4e-04 9.6e-03>6.7e-03
x^x       5.3e-05>5.3e-05 3.9e-03>1.9e-03 5.8e-04>5.8e-04 3.9e-03>3.9e-03 3.9e-03>3.9e-03 1.1e-01>1.1e-01
1/(1+x^2) 1.8e-02>3.1e-03 1.1e-02>3.6e-03 1.3e-02>2.7e-03 1.3e-01>5.1e-02 6.0e-03>6.0e-03 7.7e-03>4.1e-03
sin(x)    4.4e-01>2.2e-01 3.2e-01>1.1e-01 3.4e-01>7.0e-02 8.3e-17>8.3e-17 6.6e-01>6.4e-01 7.2e-01>7.0e-01
cos(x)    2.7e-01>1.2e-01 1.2e-01>7.4e-02 2.1e-01>4.9e-02 7.9e-02>7.9e-02 6.4e-01>4.2e-01 4.1e-01>3.1e-01
tan(x)    6.7e-01>6.3e-01 3.2e-01>1.7e-01 5.7e-01>2.7e-01 1.3e-01>6.9e-02 1.9e-01>1.6e-01 6.1e-01>5.9e-01
sin(2x)   5.3e-01>3.6e-01 2.7e-01>1.3e-01 2.0e-01>9.5e-02 1.6e-01>6.4e-02 1.2e-01>7.1e-02 3.8e-01>3.5e-01
atan(x)   1.1e-02>3.3e-03 4.3e-03>1.4e-03 7.1e-03>1.3e-03 9.3e-02>4.5e-02 1.3e-02>1.3e-02 7.8e-17>7.8e-17
tanh(x)   2.9e-02>1.2e-02 5.5e-03>3.7e-03 5.2e-03>4.7e-03 8.1e-02>3.4e-02 2.7e-03>8.5e-04 9.0e-03>3.1e-03
